姓名,简写,代表团代码,金,银,铜,合计,项目,小项,奖牌
LEE Juho,LEE J,KOR,0,0,2,2,SWM,Men's 4 x 100m Medley Relay,ME_BRONZE
KIM Woomin,KIM W,KOR,0,0,2,2,SWM,Men's 4 x 100m Medley Relay,ME_BRONZE
KIM Woomin,KIM W,KOR,0,0,2,2,SWM,Men's 4 x 200m Freestyle Relay,ME_BRONZE
YANG Jaehoon,YANG J,KOR,0,0,2,2,SWM,Men's 4 x 100m Medley Relay,ME_BRONZE
YANG Jaehoon,YANG J,KOR,0,0,2,2,SWM,Men's 4 x 200m Freestyle Relay,ME_BRONZE
YOON Jihwan,YOON J,KOR,0,0,2,2,SWM,Men's 4 x 100m Medley Relay,ME_BRONZE
YOON Jihwan,YOON J,KOR,0,0,2,2,SWM,Men's 50m Backstroke,ME_BRONZE
CHIEN Hui-hsuan,CHIEN H,TPE,0,0,2,2,KTE,Women's Individual Kata - Final,ME_BRONZE
CHIEN Hui-hsuan,CHIEN H,TPE,0,0,2,2,KTE,Women's Team Kata - Final,ME_BRONZE
DU Yuchen,DU Y,CHN,1,0,0,1,SHO,10m Air Rifle Women Team,ME_GOLD
HAN Jiayu,HAN J,CHN,1,0,0,1,SHO,10m Air Rifle Women Team,ME_GOLD
LIU Dewen,LIU D,CHN,1,0,0,1,WSU,Men's Taijiquan & Taijijian - Final,ME_GOLD
ZHANG Yaling,ZHANG Y,CHN,1,0,0,1,WSU,Women's Nanquan & Nandao - Final,ME_GOLD
TONG Xin,TONG X,CHN,1,0,0,1,WSU,Women's Taijiquan & Taijijian - Final,ME_GOLD
LI Jianming,LI J,CHN,1,0,0,1,WSU,Men's Nanquan & Nangun - Final,ME_GOLD
ZHANG Boheng,ZHANG B,CHN,1,0,0,1,GAR,Men's All-Around,ME_GOLD
ZHANG Changhong,ZHANG C,CHN,1,0,0,1,SHO,10m Air Rifle Men Team,ME_GOLD
MA Sihan,MA S,CHN,1,0,0,1,SHO,10m Air Rifle Men Team,ME_GOLD
MENG Xin,MENG X,CHN,1,0,0,1,MPN,Women's Team,ME_GOLD
CHEN Houyu,CHEN H,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
DONG Yuhan,DONG Y,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
GONG Xiangyu,GONG X,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
GUO Zhongnan,GUO Z,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
XIE Shengyu,XIE S,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
TANG Xin,TANG X,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
WANG Aoqian,WANG A,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
WANG Mengjie,WANG M,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
WU Mengjie,WU M,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
YANG Shuming,YANG S,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
ZHANG Zixuan,ZHANG Z,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
ZHUANG Yushan,ZHUANG Y,CHN,1,0,0,1,VVO,Women - Finals,ME_GOLD
GUO Li,GUO L,CHN,1,0,0,1,CRD,Women's Road Race,ME_GOLD
XU Fang,XU F,CHN,1,0,0,1,SWM,Men's 4 x 100m Medley Relay,ME_GOLD
WANG Haoyu,WANG H,CHN,1,0,0,1,SWM,Men's 4 x 200m Freestyle Relay,ME_GOLD
FEI Liwei,FEI L,CHN,1,0,0,1,SWM,Men's 4 x 200m Freestyle Relay,ME_GOLD
WANG Xizhe,WANG X,CHN,1,0,0,1,SWM,Men's 4 x 100m Medley Relay,ME_GOLD
XU Haibo,XU H,CHN,1,0,0,1,SWM,Men's 4 x 200m Freestyle Relay,ME_GOLD
JIANG Chenglin,JIANG C,CHN,1,0,0,1,SWM,Men's 4 x 100m Medley Relay,ME_GOLD
