,品牌价,上金所,溢价,溢价率%
2025-01-09,813.0,630.37,182.63,28.971873661500386
2025-01-10,821.0,633.82,187.17999999999995,29.53204379792369
2025-01-13,825.0,636.9,188.10000000000002,29.53367875647669
2025-01-14,822.0,632.44,189.55999999999995,29.97280374422869
2025-01-15,822.0,634.5,187.5,29.550827423167846
2025-01-16,827.0,637.04,189.96000000000004,29.819163631797068
2025-01-17,827.0,637.63,189.37,29.699041764032437
2025-01-20,824.0,637.5,186.5,29.254901960784313
2025-01-21,824.0,639.0,185.0,28.951486697965574
2025-01-22,833.0,643.48,189.51999999999998,29.45235283147883
2025-01-23,836.0,644.02,191.98000000000002,29.80963324120369
2025-01-24,836.0,645.51,190.49,29.509999845083733
2025-01-27,836.0,643.1,192.89999999999998,29.995335095630537
2025-02-05,863.0,667.87,195.13,29.216763741446687
2025-02-06,869.0,667.38,201.62,30.210674578201324
2025-02-07,869.0,668.99,200.01,29.89730788203112
2025-02-10,873.0,679.65,193.35000000000002,28.44846612226882
2025-02-11,873.0,683.52,189.48000000000002,27.72120786516854
2025-02-12,886.0,680.21,205.78999999999996,30.25389218035606
2025-02-13,886.0,683.86,202.14,29.558681601497376
2025-02-14,890.0,686.58,203.41999999999996,29.628011302397383
2025-02-17,875.0,676.28,198.72000000000003,29.384278701129713
2025-02-18,875.0,682.85,192.14999999999998,28.139415684264474
2025-02-19,892.0,686.9,205.10000000000002,29.85878584946863
2025-02-20,892.0,689.18,202.82000000000005,29.429176702748205
2025-02-21,892.0,683.47,208.52999999999997,30.510483269199813
2025-02-24,889.0,685.58,203.41999999999996,29.671227282009387
2025-02-25,895.0,685.17,209.83000000000004,30.62451654333962
2025-02-26,886.0,679.3,206.70000000000005,30.42838215810394
2025-02-27,886.0,676.52,209.48000000000002,30.96434695204872
2025-02-28,880.0,670.78,209.22000000000003,31.19055428009184
2025-03-03,875.0,671.78,203.22000000000003,30.250975021584452
2025-03-04,882.0,679.97,202.02999999999997,29.71160492374663
2025-03-05,886.0,681.57,204.42999999999995,29.99398447701629
2025-03-06,886.0,679.7,206.29999999999995,30.35162571722818
2025-03-07,883.0,679.48,203.51999999999998,29.952316477306173
2025-03-10,883.0,681.99,201.01,29.474039208786053
2025-03-11,880.0,676.71,203.28999999999996,30.04093333924428
2025-03-12,883.0,679.43,203.57000000000005,29.961879811018065
2025-03-13,890.0,683.77,206.23000000000002,30.16072656010062
2025-03-14,905.0,692.67,212.33000000000004,30.653846709111125
2025-03-17,905.0,695.4,209.60000000000002,30.14092608570607
2025-03-18,905.0,700.8,204.20000000000005,29.138127853881286
2025-03-19,916.0,707.7,208.29999999999995,29.4333757241769
2025-03-20,923.0,709.09,213.90999999999997,30.166833547222488
2025-03-21,923.0,706.55,216.45000000000005,30.634774609015647
2025-03-24,918.0,705.92,212.08000000000004,30.04306436990028
2025-03-25,918.0,704.56,213.44000000000005,30.294084251163856
2025-03-26,918.0,707.79,210.21000000000004,29.699487136014923
2025-03-27,921.0,709.29,211.71000000000004,29.84815801717211
2025-03-28,932.0,721.03,210.97000000000003,29.259531503543545
2025-03-31,936.0,730.8,205.20000000000005,28.078817733990157
2025-04-01,953.0,735.84,217.15999999999997,29.51185040226136
2025-04-02,953.0,732.5,220.5,30.10238907849829
2025-04-03,962.0,738.94,223.05999999999995,30.186483341001967
2025-04-07,918.0,713.98,204.01999999999998,28.57503011288831
2025-04-08,923.0,717.5,205.5,28.641114982578397
2025-04-09,932.0,728.88,203.12,27.867413017231918
2025-04-10,960.0,741.26,218.74,29.50921404095729
2025-04-11,990.0,757.1,232.89999999999998,30.76211861048738
2025-04-14,990.0,762.47,227.52999999999997,29.841174078980153
2025-04-15,990.0,762.9,227.10000000000002,29.767990562327963
2025-04-16,1006.0,781.62,224.38,28.707044343798778
2025-04-17,1028.0,786.0,242.0,30.788804071246815
2025-04-18,1028.0,788.62,239.38,30.354289772006798
2025-04-21,1039.0,804.11,234.89,29.21117757520737
2025-04-22,1061.0,825.8,235.20000000000005,28.481472511504002
2025-04-23,1055.0,786.99,268.01,34.055070585394986
2025-04-24,1038.0,792.47,245.52999999999997,30.982876323393942
2025-04-25,1038.0,785.6,252.39999999999998,32.128309572301426
2025-04-28,1028.0,778.4,249.60000000000002,32.06577595066804
2025-04-29,1028.0,780.05,247.95000000000005,31.78642394718288
2025-04-30,1022.0,780.19,241.80999999999995,30.993732295979175
2025-05-06,1026.0,792.2,233.79999999999995,29.512749305730868
2025-05-07,1033.0,798.51,234.49,29.36594407083193
2025-05-08,1040.0,786.5,253.5,32.231404958677686
2025-05-09,1022.0,785.5,236.5,30.108211330362828
2025-05-12,1008.0,759.0,249.0,32.80632411067194
2025-05-13,992.0,763.9,228.10000000000002,29.85992931011913
2025-05-14,992.0,758.38,233.62,30.80513726627812
2025-05-15,976.0,735.86,240.14,32.63392493137282
2025-05-16,985.0,746.4,238.60000000000002,31.96677384780279
2025-05-19,986.0,754.5,231.5,30.682571239231276
2025-05-20,982.0,753.49,228.51,30.326878923409733
2025-05-21,1008.0,773.82,234.17999999999995,30.262851826006038
2025-05-22,1012.0,778.36,233.64,30.016958733747877
2025-05-23,984.0,776.4,207.60000000000002,26.73879443585781
2025-05-26,996.0,773.94,222.05999999999995,28.69214667803705
2025-05-27,996.0,768.75,227.25,29.560975609756095
2025-05-28,986.0,769.67,216.33000000000004,28.106850988085807
2025-05-29,970.0,763.02,206.98000000000002,27.126418704621113
2025-05-30,978.0,768.79,209.21000000000004,27.212892987681947
2025-06-03,1000.0,778.5,221.5,28.45215157353886
2025-06-04,1000.0,779.46,220.53999999999996,28.293947091576214
2025-06-05,1000.0,781.25,218.75,28.000000000000004
2025-06-06,1000.0,779.88,220.12,28.224855105913733
2025-06-09,985.0,772.3,212.70000000000005,27.541110967240716
2025-06-10,978.0,772.68,205.32000000000005,26.572449138064925
2025-06-11,986.0,774.69,211.30999999999995,27.276717138468282
2025-06-12,997.0,780.54,216.46000000000004,27.732082916954937
2025-06-13,1010.0,792.07,217.92999999999995,27.513982350044813
2025-06-16,1010.0,788.2,221.79999999999995,28.14006597310327
2025-06-17,1005.0,783.19,221.80999999999995,28.321352417676415
2025-06-18,1005.0,781.85,223.14999999999998,28.541280296732108
2025-06-19,1005.0,777.41,227.59000000000003,29.275414517436104
2025-06-20,1005.0,777.4,227.60000000000002,29.277077437612558
2025-06-23,1005.0,777.98,227.01999999999998,29.18069873261523
2025-06-24,992.0,768.87,223.13,29.020510619480532
2025-06-25,978.0,771.49,206.51,26.767683314106467
2025-06-26,978.0,773.64,204.36,26.41538700170622
2025-06-27,978.0,763.3,214.70000000000005,28.127865845670126
2025-06-30,969.0,764.43,204.57000000000005,26.76111612574076
2025-07-01,978.0,772.88,205.12,26.53969568367664
2025-07-02,978.0,770.7,207.29999999999995,26.89762553522771
2025-07-03,978.0,776.14,201.86,26.008194397917904
2025-07-04,985.0,771.9,213.10000000000002,27.607203005570675
2025-07-07,985.0,767.75,217.25,28.29697167046565
2025-07-08,985.0,771.48,213.51999999999998,27.676673406958052
2025-07-09,978.0,763.38,214.62,28.114438418611964
2025-07-10,978.0,769.73,208.26999999999998,27.057539656762756
2025-07-11,978.0,769.66,208.34000000000003,27.06909544474184
2025-07-14,988.0,777.4,210.60000000000002,27.090301003344486
2025-07-15,988.0,776.02,211.98000000000002,27.31630628076596
2025-07-16,988.0,772.4,215.60000000000002,27.912998446400834
2025-07-17,988.0,770.91,217.09000000000003,28.16022622614832
2025-07-18,967.0,773.5,193.5,25.016160310277957
2025-07-21,988.0,777.34,210.65999999999997,27.100110633699536
2025-07-22,995.0,780.35,214.64999999999998,27.506887934901002
2025-07-23,1003.0,788.5,214.5,27.203551046290425
2025-07-24,996.0,775.34,220.65999999999997,28.459772486908964
2025-07-25,990.0,774.21,215.78999999999996,27.87228271399232
2025-07-28,990.0,771.8,218.20000000000005,28.271572946359168
2025-07-29,978.0,767.69,210.30999999999995,27.395172530578737
2025-07-30,978.0,769.68,208.32000000000005,27.0657935765513
2025-07-31,978.0,767.36,210.64,27.44995829858215
2025-08-01,978.0,767.29,210.71000000000004,27.461585580419406
2025-08-04,988.0,776.01,211.99,27.317946933673536
2025-08-05,988.0,779.85,208.14999999999998,26.691030326344805
2025-08-06,988.0,779.14,208.86,26.80647893831661
2025-08-07,988.0,782.08,205.91999999999996,26.329787234042545
2025-08-08,995.0,783.18,211.82000000000005,27.046145202890788
2025-08-11,995.0,775.54,219.46000000000004,28.297702246176865
2025-08-12,988.0,773.47,214.52999999999997,27.73604664692877
2025-08-13,988.0,774.96,213.03999999999996,27.490451120057802
2025-08-14,988.0,775.05,212.95000000000005,27.475646732468878
2025-08-15,988.0,773.55,214.45000000000005,27.7228362743197
2025-08-18,988.0,774.46,213.53999999999996,27.57276037497094
2025-08-19,988.0,773.05,214.95000000000005,27.805445960804615
2025-08-20,979.0,770.24,208.76,27.1032405484005
2025-08-21,985.0,772.0,213.0,27.590673575129532
2025-08-22,985.0,771.87,213.13,27.61216266987964
2025-08-25,985.0,775.85,209.14999999999998,26.957530450473673
2025-08-26,985.0,777.1,207.89999999999998,26.75331360185304
2025-08-27,985.0,778.07,206.92999999999995,26.59529348259153
2025-08-28,991.0,779.85,211.14999999999998,27.075719689683908
2025-08-29,991.0,781.71,209.28999999999996,26.773355848076648
2025-09-01,1006.0,794.66,211.34000000000003,26.59502177031687
2025-09-02,1013.0,799.95,213.04999999999995,26.632914557159815
2025-09-03,1021.0,809.0,212.0,26.20519159456119
2025-09-04,1028.0,809.19,218.80999999999995,27.04062086778135
2025-09-05,1022.0,811.5,210.5,25.939617991373996
2025-09-08,1029.0,821.2,207.79999999999995,25.304432537749626
2025-09-09,1038.0,832.0,206.0,24.759615384615387
2025-09-10,1038.0,829.75,208.25,25.097921060560406
2025-09-11,1038.0,826.52,211.48000000000002,25.58679765764894
2025-09-12,1038.0,830.41,207.59000000000003,24.998494719475925
2025-09-15,1038.0,828.21,209.78999999999996,25.33053211142101
2025-09-16,1054.0,838.73,215.26999999999998,25.666185780882998
2025-09-17,1048.0,831.85,216.14999999999998,25.984251968503933
2025-09-18,1038.0,824.59,213.40999999999997,25.880740731757594
2025-09-19,1038.0,826.71,211.28999999999996,25.557934463112815
2025-09-22,1044.0,839.5,204.5,24.359737939249555
2025-09-23,1055.0,850.65,204.35000000000002,24.022806089461003
2025-09-24,1066.0,856.63,209.37,24.44112393915693
2025-09-25,1061.0,851.74,209.26,24.568530302674525
2025-09-26,1061.0,853.0,208.0,24.384525205158265
2025-09-29,1065.0,862.9,202.10000000000002,23.421022134662188
2025-09-30,1077.0,871.86,205.14,23.529006950657212
2025-10-09,1115.0,911.5,203.5,22.325836533187054
2025-10-10,1128.0,897.63,230.37,25.664249189532434
2025-10-13,1129.0,926.73,202.26999999999998,21.82620612260313
2025-10-14,1147.0,940.72,206.27999999999997,21.92788502423675
2025-10-15,1160.0,959.04,200.96000000000004,20.954287620954293
2025-10-16,1171.0,968.14,202.86,20.953581093643482
2025-10-17,1190.0,997.17,192.83000000000004,19.337725763911877
2025-10-20,1179.0,974.3,204.70000000000005,21.009955865749774
2025-10-21,1209.0,987.12,221.88,22.4775103330902
2025-10-22,1145.0,948.8,196.20000000000005,20.678752107925806
2025-10-23,1145.0,941.21,203.78999999999996,21.651916150487136
2025-10-24,1164.0,935.6,228.39999999999998,24.412141941000424
2025-10-27,1144.0,930.79,213.21000000000004,22.90634837073884
2025-10-28,1129.0,896.6,232.39999999999998,25.92014276154361
2025-10-29,1122.0,912.94,209.05999999999995,22.899642911910963
2025-10-30,1109.0,906.89,202.11,22.286054538036588
2025-10-31,1135.0,921.5,213.5,23.168746608790016
2025-11-03,1120.0,920.0,200.0,21.73913043478261
2025-11-04,1209.0,916.49,292.51,31.916332965989806
2025-11-05,1247.0,910.0,337.0,37.032967032967036
2025-11-06,1261.0,918.0,343.0,37.36383442265795
2025-11-07,1261.0,918.03,342.97,37.35934555515615
2025-11-10,1256.0,934.81,321.19000000000005,34.35885367079942
2025-11-11,1283.0,946.79,336.21000000000004,35.51051447522682
2025-11-12,1283.0,944.84,338.15999999999997,35.790186698276955
2025-11-13,1295.0,959.14,335.86,35.01678587067582
2025-11-14,1295.0,948.03,346.97,36.59905277259159
2025-11-17,1271.0,931.42,339.58000000000004,36.45831096605184
2025-11-18,1257.0,916.96,340.03999999999996,37.08340603734077
2025-11-19,1263.0,935.33,327.66999999999996,35.03255535479456
2025-11-20,1273.0,929.95,343.04999999999995,36.88908005806763
2025-11-21,1266.0,924.44,341.55999999999995,36.947773787373976
2025-11-24,1259.0,926.0,333.0,35.96112311015119
2025-11-25,1278.0,941.54,336.46000000000004,35.735072328313194
2025-11-26,1278.0,941.16,336.84000000000003,35.78987632283565
2025-11-27,1278.0,943.98,334.02,35.384224242039025
2025-11-28,1283.0,948.15,334.85,35.31614196066023
2025-12-01,1295.0,958.46,336.53999999999996,35.11257642468125
2025-12-02,1289.0,954.89,334.11,34.98937050340877
2025-12-03,1289.0,950.06,338.94000000000005,35.67564153842916
2025-12-04,1289.0,949.32,339.67999999999995,35.781401424177304
2025-12-05,1289.0,956.5,332.5,34.762153685311034
2025-12-08,1289.0,954.1,334.9,35.10114243789959
2025-12-09,1289.0,947.13,341.87,36.09536177715837
2025-12-10,1289.0,950.91,338.09000000000003,35.55436371475745
2025-12-11,1294.0,952.39,341.61,35.86870924726215
2025-12-12,1301.0,964.25,336.75,34.92351568576614
2025-12-15,1307.0,976.82,330.17999999999995,33.80151921541327
2025-12-16,1307.0,964.89,342.11,35.45585507156257
2025-12-17,1307.0,972.71,334.28999999999996,34.366871935109124
2025-12-18,1312.0,975.55,336.45000000000005,34.48823740454103
2025-12-19,1312.0,975.51,336.49,34.49375198614059
2025-12-22,1319.0,992.79,326.21000000000004,32.85790549864524
2025-12-23,1389.0,1006.87,382.13,37.95226791939376
2025-12-24,1395.0,1007.69,387.30999999999995,38.43543153152258
2025-12-25,1395.0,1002.98,392.02,39.08552513509741
2025-12-26,1398.0,1007.0,391.0,38.82820258192651
2025-12-29,1390.0,1004.0,386.0,38.44621513944223
2025-12-30,1346.0,981.91,364.09000000000003,37.07977309529387
2025-12-31,1346.0,974.9,371.1,38.06544260949841
2026-01-05,1363.0,993.57,369.42999999999995,37.182080779411606
2026-01-06,1375.0,1003.01,371.99,37.08736702525399
2026-01-07,1383.0,999.68,383.32000000000005,38.34427016645327
2026-01-08,1383.0,996.21,386.78999999999996,38.82615111271719
2026-01-09,1377.0,1003.49,373.51,37.22109836670022
2026-01-12,1411.0,1023.71,387.28999999999996,37.83200320403239
2026-01-13,1411.0,1025.02,385.98,37.65585061754893
2026-01-14,1421.0,1038.0,383.0,36.897880539499035
2026-01-15,1421.0,1034.27,386.73,37.391590203718565
2026-01-16,1421.0,1032.63,388.3699999999999,37.609792471650046
2026-01-19,1440.0,1045.72,394.28,37.70416555100791
2026-01-20,1440.0,1056.43,383.56999999999994,36.30813210529802
2026-01-21,1483.0,1087.81,395.19000000000005,36.32895450492274
2026-01-22,1483.0,1083.69,399.30999999999995,36.84725336581494
2026-01-23,1533.0,1110.3,422.70000000000005,38.070791677924895
2026-01-26,1573.0,1144.45,428.54999999999995,37.44593472847219
2026-01-27,1580.0,1144.14,435.8599999999999,38.09498837554843
2026-01-28,1613.0,1184.96,428.03999999999996,36.12273832028085
2026-01-29,1701.0,1243.02,457.98,36.844137664719796
2026-01-30,1680.0,1163.95,516.05,44.33609691137935
2026-02-02,1484.0,1030.0,454.0,44.07766990291262
2026-02-03,1490.0,1097.89,392.1099999999999,35.71487125303991
2026-02-04,1561.0,1140.3,420.70000000000005,36.8937998772253
2026-02-05,1550.0,1105.47,444.53,40.211855590834666
2026-02-06,1447.0,1093.85,353.1500000000001,32.285048224162374
2026-02-09,1555.0,1116.02,438.98,39.33442053009803
2026-02-10,1545.0,1116.69,428.30999999999995,38.35531794858017
2026-02-11,1545.0,1123.02,421.98,37.57546615376396
2026-02-12,1545.0,1122.52,422.48,37.63674589316894
2026-02-13,1524.0,1108.92,415.0799999999999,37.43101395952818
2026-02-24,1560.0,1147.66,412.3399999999999,35.92875938866911
2026-02-25,1565.0,1145.64,419.3599999999999,36.60486714849341
2026-02-26,1566.0,1144.51,421.49,36.827113786686006
2026-02-27,1571.0,1142.97,428.03,37.448926918466796
2026-03-02,1621.0,1199.45,421.54999999999995,35.14527491767059
