date,code,name,close
2024-09-23,BK1134,AI 算力,837.600000
2024-09-23,BK1128,CPO,1552.920000
2024-09-23,BK0917,半导体,998.610000
2024-09-23,BK1137,存储,802.620000
2024-09-23,BK0922,数据中心,1006.150000
2024-09-23,BK0579,云计算,1782.920000
2024-09-23,BK0963,商业航天,985.260000
2024-09-23,BK0921,卫星,921.620000
2024-09-23,BK1090,机器人,931.890000
2024-09-23,BK0802,自动驾驶,1084.220000
2024-09-23,BK0577,核电,1369.130000
2024-09-23,BK0490,军工,39905.530000
2024-09-23,BK0493,新能源,10212.380000
2024-09-23,BK0588,光伏,2181.960000
2024-09-23,BK0574,锂电池,1953.330000
2024-09-23,BK0464,石油,4264.230000
2024-09-23,BK0843,天然气,1009.240000
2024-09-23,BK0478,铜/有色,12075.870000
2024-09-23,BK0547,黄金,9499.370000
2024-09-23,BK0475,银行金融,3083.880000
2024-09-23,BK1216,生物医疗,2950.570000
2024-09-23,BK0438,消费,17988.060000
2024-09-23,BK0578,稀土永磁,1482.960000
2024-09-23,BK1106,创新药,827.750000
2024-09-23,BK0710,量子计算,1514.940000
2024-09-23,BK0968,固态电池,1030.470000
2024-09-23,BK1166,低空经济,870.650000
2024-09-23,BK0668,医疗器械,2486.460000
2024-09-24,BK1134,AI 算力,863.760000
2024-09-24,BK1128,CPO,1618.480000
2024-09-24,BK0917,半导体,1035.710000
2024-09-24,BK1137,存储,834.520000
2024-09-24,BK0922,数据中心,1034.400000
2024-09-24,BK0579,云计算,1834.160000
2024-09-24,BK0963,商业航天,1017.240000
2024-09-24,BK0921,卫星,947.220000
2024-09-24,BK1090,机器人,961.400000
2024-09-24,BK0802,自动驾驶,1113.980000
2024-09-24,BK0577,核电,1417.280000
2024-09-24,BK0490,军工,41132.870000
2024-09-24,BK0493,新能源,10567.130000
2024-09-24,BK0588,光伏,2258.730000
2024-09-24,BK0574,锂电池,2031.530000
2024-09-24,BK0464,石油,4406.070000
2024-09-24,BK0843,天然气,1046.390000
2024-09-24,BK0478,铜/有色,12521.920000
2024-09-24,BK0547,黄金,9785.190000
2024-09-24,BK0475,银行金融,3201.520000
2024-09-24,BK1216,生物医疗,3050.540000
2024-09-24,BK0438,消费,18721.090000
2024-09-24,BK0578,稀土永磁,1537.140000
2024-09-24,BK1106,创新药,855.650000
2024-09-24,BK0710,量子计算,1556.050000
2024-09-24,BK0968,固态电池,1074.230000
2024-09-24,BK1166,低空经济,898.570000
2024-09-24,BK0668,医疗器械,2573.600000
2024-09-25,BK1134,AI 算力,875.310000
2024-09-25,BK1128,CPO,1632.540000
2024-09-25,BK0917,半导体,1043.740000
2024-09-25,BK1137,存储,838.060000
2024-09-25,BK0922,数据中心,1048.370000
2024-09-25,BK0579,云计算,1859.130000
2024-09-25,BK0963,商业航天,1029.070000
2024-09-25,BK0921,卫星,960.590000
2024-09-25,BK1090,机器人,971.190000
2024-09-25,BK0802,自动驾驶,1123.200000
2024-09-25,BK0577,核电,1433.070000
2024-09-25,BK0490,军工,41652.710000
2024-09-25,BK0493,新能源,10689.030000
2024-09-25,BK0588,光伏,2282.890000
