公司,营收_亿,营收同比_%,归母净利_亿,扣非净利_亿,非经常损益差额_亿,经营现金流_亿,经营现金流率_%,销售费用率_%,研发费用率_%,境外收入占比_%,2025年末员工数,员工同比_%,职工现金同比_%
世纪华通,221.17,28.53,45.03,43.03,2.0,44.97,20.33,42.23,4.98,64.69,6016,7.08,39.79
巨人网络,46.89,182.08,21.44,22.36,-0.92,20.72,44.19,28.18,12.86,0.33,1674,8.63,39.43
恺英网络,47.97,86.06,14.28,11.67,2.61,14.63,30.5,39.24,4.56,4.0,2248,2.93,12.85
三七互娱,72.75,-14.28,17.66,10.16,7.5,10.89,14.97,51.75,5.38,41.53,3138,-3.42,-1.98
吉比特,37.27,48.01,10.92,10.87,0.05,12.73,34.16,35.82,11.58,16.29,995,-31.85,22.65
完美世界,27.51,-25.47,-1.18,-2.11,0.93,6.47,23.52,37.53,27.47,18.59,3333,-14.65,-3.83
神州泰岳,32.34,20.45,3.82,3.66,0.16,4.64,14.35,7.93,5.29,85.93,4211,-3.46,-13.01
游族网络,6.96,1.21,2.53,0.18,2.35,0.07,1.01,4.49,8.34,72.08,566,-27.62,-10.17
冰川网络,11.9,-5.29,-0.23,-0.53,0.3,0.93,7.82,76.08,16.53,62.72,2135,9.38,-2.3
