指标,公司,代码,报告期,数值_亿元,同比_%,口径,来源,备注
游戏业务收入,腾讯控股,00700.HK,2026H1,1301.00,9.6,本土市场游戏+国际市场游戏,腾讯控股2026年Q1及Q2业绩公布,由两季季报加总推算（Q1 642亿、Q2 659亿）；官方未直接披露半年合计
游戏业务收入,腾讯控股,00700.HK,2025H1,1186.50,,本土市场游戏+国际市场游戏,腾讯控股2025年Q1及Q2业绩公布,由同比增速反推
本土市场游戏收入,腾讯控股,00700.HK,2026H1,927.00,11.5,本土市场,腾讯控股2026年Q1（454亿）+Q2（473亿）业绩公布,季度加总
国际市场游戏收入,腾讯控股,00700.HK,2026H1,374.00,4.7,国际市场,腾讯控股2026年Q1（188亿）+Q2（186亿）业绩公布,Q2受汇率影响同比-0.8%，固定汇率+4%
游戏业务收入,网易,09999.HK,2026H1,507.00,8.3,游戏及相关增值服务（公司披露分部）,网易2026年第二季度财报及中期业绩,占净收入83.6%
游戏业务收入,网易,09999.HK,2025H1,468.20,,游戏及相关增值服务（公司披露分部）,网易2025年中期业绩,由同比增速反推
