SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO,FEE_COMMISSION_NI,FCN_RATIO,OPERATE_TAX_ADD,MANAGE_EXPENSE_BANK,FCN_CALCULATE,INTEREST_NI_CALCULATE,EARNED_PREMIUM,EARNED_PREMIUM_RATIO,INVEST_INCOME,SURRENDER_VALUE,COMPENSATE_EXPENSE,TOI_RATIO,OPERATE_PROFIT_RATIO,PARENT_NETPROFIT_RATIO,DEDUCT_PARENT_NETPROFIT,DPN_RATIO
300459.SZ,300459,1046,10187005,汤姆猫,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,51590739.58,447483894.49,378159789.94,-20.52557103,57911835.88,57911835.88,-6.7022758994,90632576.91,118515112.19,30912980.03,74196823.89,74110501.57,23930475.81,,,,,,1828653.13,,,,,,,,,-3.3229921948,521.500629059526,270.12,51087841.77,264.569303416917
301011.SZ,301011,1266,10490675,华立科技,文娱用品,,058001001,069001002002,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,-108869452.3,333894046.57,357528855.14,-16.4042399888,270450452.31,270450452.31,-20.1261307256,29921416.11,28848291.33,4028578.09,-124613351.93,-125579542.56,-16606797.4,,,,,,2051351.09,,,,,,,,,-30.5866556879,-375.995611934431,-411.24,-106283913.4,-400.506244381865
600892.SH,600892,1046,10004063,大晟文化,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,-38851448.96,153886970.15,198607528.22,34.897930693,39306992.51,39306992.51,20.2670147125,105257698.35,28432559.84,4113858.07,-44657537.14,-44669137.36,2838218.46,,,,,,381735.82,,,,,,,,,41.4680289571,-15.016940553765,-15.192479426189,-39649131.84,-18.361115218309
002558.SZ,002558,1046,10163071,巨人网络,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,2144304578.07,4688729195.66,2283524914.5,82.5009784593,197395814.94,197395814.94,28.774114014,1321279395.16,134945175.41,203501.92,2622125496.8,2622966628.46,333531591.79,,,,,,26570954.08,,,,,,,,,182.0797292305,230.739816550302,175.96,2236204413.42,177.230794512784
002517.SZ,002517,1046,10180962,恺英网络,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-27 00:00:00,2026-06-30 00:00:00,1428324820.73,4796585311.53,3326690395.16,105.4552427542,1109314679.58,1109314679.58,144.2174312243,1882335639.7,108644066.37,-9462456.18,1573675301.58,1749423113.1,196619155.66,,,,,,17200790.25,,,,,,,,,86.0574405848,61.072129862234,50.34,1166734977.33,24.308873230136
300467.SZ,300467,1046,10268119,迅游科技,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-26 00:00:00,2026-06-30 00:00:00,9876258.47,146214681.47,136332049.73,0.7737415059,56687076.13,56687076.13,-6.395151077,33269597.1,24004120,-464003.65,14919273.34,14899275.22,-56110.68,,,,,,749428.19,,,,,,,,,1.9109209504,15.06316749586,-15.67,6826730.93,-29.024325242535
002919.SZ,002919,1046,10541405,名臣健康,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-26 00:00:00,2026-06-30 00:00:00,-5067938.73,895971000.05,909901188.34,35.1153428222,379916641.35,379916641.35,15.3911734899,436434620.94,56530413.5,2461878.83,-9310924.4,-9445858.31,-1927317.75,,,,,,2266980.78,,,,,,,,,25.8971870043,-125.030333954502,-112.34,-5561967.61,-113.644330185703
002555.SZ,002555,1046,10163070,三七互娱,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-26 00:00:00,2026-06-30 00:00:00,1766269020.71,7274643508.72,6069360410.81,-12.7814406845,1638778174.35,1638778174.35,-17.0955141144,3764438195.99,283967346.39,-30697350.2,2248605805.23,2246609917.93,483800898.81,,,,,,21855156.78,,,,,,,,,-14.2759429927,38.676194077186,26.14,1016313090.37,-26.738288783568
300113.SZ,300113,1046,10147589,顺网科技,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-25 00:00:00,2026-06-30 00:00:00,158272155.45,565585211.3,422571563.94,-49.4252497887,187836741.45,187836741.45,-69.6157825555,59855720.41,91781232,-1343740.69,183132609.07,183343505.34,10718182.21,,,,,,4971743.19,,,,,,,,,-44.0155495042,-5.424980238376,-2.01,121924043.09,-13.028584178103
300315.SZ,300315,1046,10196663,掌趣科技,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-08-21 00:00:00,2026-06-30 00:00:00,36258443.75,333826977.96,385654361.35,21.5732015628,77011846.46,77011846.46,-18.0813585785,162660054,54341520.27,-38439873.93,38876541.22,38249299.27,1990855.52,,,,,,922567.8,,,,,,,,,-6.7542484212,-17.41024711227,-24.13,-36200597.49,-171.946306771571
002624.SZ,002624,1046,10175652,完美世界,游戏Ⅱ,szzb,058001001,069001002001,002,001,2,2026-08-20 00:00:00,2026-06-30 00:00:00,-118437769.22,2751024838.4,2913385576.28,-8.5371404986,833405393.35,833405393.35,-47.8786280151,1032447740.76,311480511.41,-33220903.91,-99138201.47,-94249141.68,49051844.72,,,,,,13588731.1,,,,,,,,,-25.4665312892,-114.08431504599,-123.54,-210607196.74,-166.211428325356
600633.SH,600633,1046,10003943,浙数文化,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-15 00:00:00,2026-06-30 00:00:00,301394441.2,1727286503.66,1516924451.39,27.7723481603,1018723846.66,1018723846.66,62.5085771507,142812355.47,201232113.68,7609912.33,325859117.2,324428618.57,35419590.58,,,,,,8755554.2,,,,,,,,,22.1572468526,-20.536008378977,-20.13,219802188.28,8.366059421884
603444.SH,603444,1046,10277263,吉比特,游戏Ⅱ,shzb,058001001,069001001001,002,001,2,2026-08-14 00:00:00,2026-06-30 00:00:00,1091536495.39,3726842297.78,2243654907.53,42.1424818871,234500612.05,234500612.05,21.1862537805,1335061868.87,179040650.41,45547303.51,1524024082.42,1530655926.04,255197809.31,,,,,,18079723.99,,,,,,,,,48.01380786,60.351746413439,69.31,1086707855.97,67.769477354043
300299.SZ,300299,1046,10197998,富春股份,游戏Ⅱ,cyb,058001001,069001002002,002,001,2,2026-07-28 00:00:00,2026-06-30 00:00:00,33361834.69,216063218.03,180466991.22,-3.3424745981,101537658.28,101537658.28,7.7661790272,30240670.75,24388214.07,4576720.68,38419266.69,38396565.82,5739631.62,,,,,,930455.45,,,,,,,,,19.0207522725,500.481801207138,443.75,31908864.37,387.588477037729
