date,code,close
2024-09-23,BK0493,10212.380000
2024-09-24,BK0493,10567.130000
2024-09-25,BK0493,10689.030000
2024-09-26,BK0493,10999.760000
2024-09-27,BK0493,11511.360000
2024-09-30,BK0493,12665.400000
2024-10-08,BK0493,13510.240000
2024-10-09,BK0493,12332.960000
2024-10-10,BK0493,12437.980000
2024-10-11,BK0493,11964.470000
2024-10-14,BK0493,12256.110000
2024-10-15,BK0493,12050.640000
2024-10-16,BK0493,12078.190000
2024-10-17,BK0493,11982.650000
2024-10-18,BK0493,12314.620000
2024-10-21,BK0493,12493.610000
2024-10-22,BK0493,12783.720000
2024-10-23,BK0493,13053.590000
2024-10-24,BK0493,12979.870000
2024-10-25,BK0493,13401.300000
2024-10-28,BK0493,13718.590000
2024-10-29,BK0493,13408.960000
2024-10-30,BK0493,13405.360000
2024-10-31,BK0493,13701.460000
2024-11-01,BK0493,13303.750000
2024-11-04,BK0493,13503.710000
2024-11-05,BK0493,13845.340000
2024-11-06,BK0493,13957.140000
2024-11-07,BK0493,14236.630000
2024-11-08,BK0493,14220.130000
2024-11-11,BK0493,14456.880000
2024-11-12,BK0493,14314.080000
2024-11-13,BK0493,14327.040000
2024-11-14,BK0493,13928.170000
2024-11-15,BK0493,13595.950000
2024-11-18,BK0493,13469.070000
2024-11-19,BK0493,13768.630000
2024-11-20,BK0493,14016.080000
2024-11-21,BK0493,14142.570000
2024-11-22,BK0493,13696.530000
2024-11-25,BK0493,13820.270000
2024-11-26,BK0493,13640.210000
2024-11-27,BK0493,13786.430000
2024-11-28,BK0493,13816.720000
2024-11-29,BK0493,13952.980000
2024-12-02,BK0493,14263.190000
2024-12-03,BK0493,14345.540000
2024-12-04,BK0493,14133.070000
2024-12-05,BK0493,14258.200000
2024-12-06,BK0493,14413.160000
2024-12-09,BK0493,14352.610000
2024-12-10,BK0493,14346.170000
2024-12-11,BK0493,14487.840000
2024-12-12,BK0493,14593.950000
2024-12-13,BK0493,14314.840000
2024-12-16,BK0493,14287.120000
2024-12-17,BK0493,13904.680000
2024-12-18,BK0493,13961.450000
2024-12-19,BK0493,13933.260000
2024-12-20,BK0493,13966.670000
2024-12-23,BK0493,13542.590000
2024-12-24,BK0493,13780.580000
2024-12-25,BK0493,13527.410000
2024-12-26,BK0493,13603.580000
2024-12-27,BK0493,13772.940000
2024-12-30,BK0493,13597.070000
2024-12-31,BK0493,13320.380000
2025-01-02,BK0493,13002.680000
2025-01-03,BK0493,12601.590000
2025-01-06,BK0493,12579.640000
2025-01-07,BK0493,12803.070000
2025-01-08,BK0493,12780.730000
2025-01-09,BK0493,12773.250000
2025-01-10,BK0493,12437.320000
2025-01-13,BK0493,12437.500000
2025-01-14,BK0493,12955.610000
2025-01-15,BK0493,12892.310000
2025-01-16,BK0493,12976.560000
2025-01-17,BK0493,12985.040000
2025-01-20,BK0493,13082.720000
2025-01-21,BK0493,13035.830000
2025-01-22,BK0493,12941.420000
2025-01-23,BK0493,12902.780000
2025-01-24,BK0493,12990.570000
2025-01-27,BK0493,12865.490000
2025-02-05,BK0493,12921.310000
2025-02-06,BK0493,13172.650000
2025-02-07,BK0493,13390.280000
2025-02-10,BK0493,13498.090000
2025-02-11,BK0493,13439.260000
2025-02-12,BK0493,13589.200000
2025-02-13,BK0493,13480.460000
2025-02-14,BK0493,13478.620000
2025-02-17,BK0493,13627.700000
2025-02-18,BK0493,13450.000000
2025-02-19,BK0493,13650.680000
2025-02-20,BK0493,13678.290000
2025-02-21,BK0493,13802.690000
2025-02-24,BK0493,13924.250000
2025-02-25,BK0493,13879.720000
2025-02-26,BK0493,14113.030000
2025-02-27,BK0493,14056.220000
2025-02-28,BK0493,13767.320000
2025-03-03,BK0493,13824.570000
2025-03-04,BK0493,13932.300000
2025-03-05,BK0493,13907.920000
2025-03-06,BK0493,14064.940000
2025-03-07,BK0493,13962.450000
2025-03-10,BK0493,14054.310000
2025-03-11,BK0493,14131.330000
2025-03-12,BK0493,14250.290000
2025-03-13,BK0493,14244.460000
2025-03-14,BK0493,14421.890000
2025-03-17,BK0493,14516.180000
2025-03-18,BK0493,14630.010000
2025-03-19,BK0493,14641.080000
2025-03-20,BK0493,14696.150000
2025-03-21,BK0493,14609.400000
2025-03-24,BK0493,14408.190000
2025-03-25,BK0493,14443.060000
2025-03-26,BK0493,14549.850000
2025-03-27,BK0493,14347.480000
2025-03-28,BK0493,14146.590000
2025-03-31,BK0493,13997.320000
2025-04-01,BK0493,14213.410000
2025-04-02,BK0493,14149.790000
2025-04-03,BK0493,14114.660000
2025-04-07,BK0493,12596.180000
2025-04-08,BK0493,12665.320000
2025-04-09,BK0493,12907.970000
2025-04-10,BK0493,13190.840000
2025-04-11,BK0493,13252.850000
2025-04-14,BK0493,13524.250000
2025-04-15,BK0493,13552.390000
2025-04-16,BK0493,13384.370000
2025-04-17,BK0493,13405.750000
2025-04-18,BK0493,13384.320000
2025-04-21,BK0493,13579.690000
2025-04-22,BK0493,13543.150000
2025-04-23,BK0493,13639.490000
2025-04-24,BK0493,13640.060000
2025-04-25,BK0493,13781.200000
2025-04-28,BK0493,13683.730000
2025-04-29,BK0493,13648.330000
2025-04-30,BK0493,13715.350000
2025-05-06,BK0493,14116.700000
2025-05-07,BK0493,14224.760000
2025-05-08,BK0493,14388.410000
2025-05-09,BK0493,14302.890000
2025-05-12,BK0493,14468.910000
2025-05-13,BK0493,14517.090000
2025-05-14,BK0493,14515.950000
2025-05-15,BK0493,14366.610000
2025-05-16,BK0493,14422.440000
2025-05-19,BK0493,14562.560000
2025-05-20,BK0493,14692.660000
2025-05-21,BK0493,14667.230000
2025-05-22,BK0493,14468.260000
2025-05-23,BK0493,14283.240000
2025-05-26,BK0493,14459.000000
2025-05-27,BK0493,14484.040000
2025-05-28,BK0493,14500.410000
2025-05-29,BK0493,14684.610000
2025-05-30,BK0493,14510.020000
2025-06-03,BK0493,14545.290000
2025-06-04,BK0493,14656.220000
2025-06-05,BK0493,14736.720000
2025-06-06,BK0493,14753.590000
2025-06-09,BK0493,14919.670000
2025-06-10,BK0493,14811.830000
2025-06-11,BK0493,14838.380000
2025-06-12,BK0493,14800.680000
2025-06-13,BK0493,14636.200000
2025-06-16,BK0493,14754.590000
2025-06-17,BK0493,14800.320000
2025-06-18,BK0493,14746.250000
2025-06-19,BK0493,14450.170000
2025-06-20,BK0493,14349.930000
2025-06-23,BK0493,14536.830000
2025-06-24,BK0493,14808.450000
2025-06-25,BK0493,14928.620000
2025-06-26,BK0493,14925.470000
2025-06-27,BK0493,14978.470000
2025-06-30,BK0493,15200.010000
2025-07-01,BK0493,15324.250000
2025-07-02,BK0493,15430.590000
2025-07-03,BK0493,15441.870000
2025-07-04,BK0493,15386.940000
2025-07-07,BK0493,15619.380000
2025-07-08,BK0493,15813.160000
2025-07-09,BK0493,15765.500000
2025-07-10,BK0493,15779.630000
2025-07-11,BK0493,15799.000000
2025-07-14,BK0493,15922.560000
2025-07-15,BK0493,15659.350000
2025-07-16,BK0493,15668.340000
2025-07-17,BK0493,15738.020000
2025-07-18,BK0493,15765.880000
2025-07-21,BK0493,16034.400000
2025-07-22,BK0493,16213.150000
2025-07-23,BK0493,16000.770000
2025-07-24,BK0493,16125.030000
2025-07-25,BK0493,16041.610000
2025-07-28,BK0493,16103.500000
2025-07-29,BK0493,16100.610000
2025-07-30,BK0493,15994.430000
2025-07-31,BK0493,15720.980000
2025-08-01,BK0493,15799.440000
2025-08-04,BK0493,15897.360000
2025-08-05,BK0493,16021.980000
2025-08-06,BK0493,16096.130000
2025-08-07,BK0493,16083.740000
2025-08-08,BK0493,16204.700000
2025-08-11,BK0493,16383.870000
2025-08-12,BK0493,16348.250000
2025-08-13,BK0493,16445.340000
