date,code,close
2024-09-23,BK1134,837.600000
2024-09-24,BK1134,863.760000
2024-09-25,BK1134,875.310000
2024-09-26,BK1134,901.920000
2024-09-27,BK1134,956.300000
2024-09-30,BK1134,1081.760000
2024-10-08,BK1134,1215.180000
2024-10-09,BK1134,1115.610000
2024-10-10,BK1134,1097.610000
2024-10-11,BK1134,1046.660000
2024-10-14,BK1134,1093.440000
2024-10-15,BK1134,1085.330000
2024-10-16,BK1134,1085.950000
2024-10-17,BK1134,1106.680000
2024-10-18,BK1134,1159.170000
2024-10-21,BK1134,1199.640000
2024-10-22,BK1134,1193.950000
2024-10-23,BK1134,1191.760000
2024-10-24,BK1134,1199.300000
2024-10-25,BK1134,1224.290000
2024-10-28,BK1134,1260.220000
2024-10-29,BK1134,1244.160000
2024-10-30,BK1134,1249.560000
2024-10-31,BK1134,1265.470000
2024-11-01,BK1134,1182.590000
2024-11-04,BK1134,1207.710000
2024-11-05,BK1134,1256.970000
2024-11-06,BK1134,1265.430000
2024-11-07,BK1134,1294.470000
2024-11-08,BK1134,1307.860000
2024-11-11,BK1134,1361.000000
2024-11-12,BK1134,1335.080000
2024-11-13,BK1134,1347.150000
2024-11-14,BK1134,1305.030000
2024-11-15,BK1134,1291.620000
2024-11-18,BK1134,1235.600000
2024-11-19,BK1134,1265.260000
2024-11-20,BK1134,1304.250000
2024-11-21,BK1134,1309.300000
2024-11-22,BK1134,1265.590000
2024-11-25,BK1134,1268.790000
2024-11-26,BK1134,1250.840000
2024-11-27,BK1134,1289.500000
2024-11-28,BK1134,1286.530000
2024-11-29,BK1134,1308.150000
2024-12-02,BK1134,1331.470000
2024-12-03,BK1134,1332.370000
2024-12-04,BK1134,1307.500000
2024-12-05,BK1134,1331.750000
2024-12-06,BK1134,1344.390000
2024-12-09,BK1134,1340.590000
2024-12-10,BK1134,1353.430000
2024-12-11,BK1134,1380.180000
2024-12-12,BK1134,1389.340000
2024-12-13,BK1134,1381.380000
2024-12-16,BK1134,1372.250000
2024-12-17,BK1134,1319.040000
2024-12-18,BK1134,1339.700000
2024-12-19,BK1134,1392.640000
2024-12-20,BK1134,1407.810000
2024-12-23,BK1134,1353.060000
2024-12-24,BK1134,1354.990000
2024-12-25,BK1134,1323.250000
2024-12-26,BK1134,1360.750000
2024-12-27,BK1134,1349.980000
2024-12-30,BK1134,1361.840000
2024-12-31,BK1134,1323.290000
2025-01-02,BK1134,1293.280000
2025-01-03,BK1134,1226.180000
2025-01-06,BK1134,1198.970000
2025-01-07,BK1134,1242.240000
2025-01-08,BK1134,1239.660000
2025-01-09,BK1134,1247.340000
2025-01-10,BK1134,1201.910000
2025-01-13,BK1134,1200.970000
2025-01-14,BK1134,1270.280000
2025-01-15,BK1134,1268.050000
2025-01-16,BK1134,1276.100000
2025-01-17,BK1134,1267.900000
2025-01-20,BK1134,1279.410000
2025-01-21,BK1134,1289.730000
2025-01-22,BK1134,1287.780000
2025-01-23,BK1134,1281.320000
2025-01-24,BK1134,1318.320000
2025-01-27,BK1134,1293.150000
2025-02-05,BK1134,1351.160000
2025-02-06,BK1134,1401.570000
2025-02-07,BK1134,1449.060000
2025-02-10,BK1134,1523.270000
2025-02-11,BK1134,1525.720000
2025-02-12,BK1134,1564.150000
2025-02-13,BK1134,1571.060000
2025-02-14,BK1134,1599.630000
2025-02-17,BK1134,1633.270000
2025-02-18,BK1134,1579.380000
2025-02-19,BK1134,1629.290000
2025-02-20,BK1134,1631.750000
2025-02-21,BK1134,1713.940000
2025-02-24,BK1134,1710.390000
2025-02-25,BK1134,1696.010000
2025-02-26,BK1134,1722.920000
2025-02-27,BK1134,1710.660000
2025-02-28,BK1134,1620.580000
2025-03-03,BK1134,1604.950000
2025-03-04,BK1134,1632.160000
2025-03-05,BK1134,1671.070000
2025-03-06,BK1134,1729.640000
2025-03-07,BK1134,1713.180000
2025-03-10,BK1134,1701.400000
2025-03-11,BK1134,1715.340000
2025-03-12,BK1134,1752.270000
2025-03-13,BK1134,1710.480000
2025-03-14,BK1134,1732.530000
2025-03-17,BK1134,1743.170000
2025-03-18,BK1134,1757.050000
2025-03-19,BK1134,1727.640000
2025-03-20,BK1134,1715.440000
2025-03-21,BK1134,1677.070000
2025-03-24,BK1134,1637.710000
2025-03-25,BK1134,1586.900000
2025-03-26,BK1134,1599.990000
2025-03-27,BK1134,1580.930000
2025-03-28,BK1134,1563.410000
2025-03-31,BK1134,1572.880000
2025-04-01,BK1134,1566.960000
2025-04-02,BK1134,1573.580000
2025-04-03,BK1134,1553.800000
2025-04-07,BK1134,1336.880000
2025-04-08,BK1134,1330.380000
2025-04-09,BK1134,1381.160000
2025-04-10,BK1134,1418.650000
2025-04-11,BK1134,1443.880000
2025-04-14,BK1134,1463.860000
2025-04-15,BK1134,1460.950000
2025-04-16,BK1134,1429.920000
2025-04-17,BK1134,1429.630000
2025-04-18,BK1134,1433.980000
2025-04-21,BK1134,1471.450000
2025-04-22,BK1134,1453.100000
2025-04-23,BK1134,1471.080000
2025-04-24,BK1134,1432.600000
2025-04-25,BK1134,1443.230000
2025-04-28,BK1134,1437.360000
2025-04-29,BK1134,1453.660000
2025-04-30,BK1134,1489.990000
2025-05-06,BK1134,1547.930000
2025-05-07,BK1134,1541.780000
2025-05-08,BK1134,1556.200000
2025-05-09,BK1134,1523.310000
2025-05-12,BK1134,1550.110000
2025-05-13,BK1134,1541.540000
2025-05-14,BK1134,1555.920000
2025-05-15,BK1134,1514.660000
2025-05-16,BK1134,1519.690000
2025-05-19,BK1134,1530.480000
2025-05-20,BK1134,1544.680000
2025-05-21,BK1134,1521.930000
2025-05-22,BK1134,1508.610000
2025-05-23,BK1134,1472.360000
2025-05-26,BK1134,1504.240000
2025-05-27,BK1134,1491.810000
2025-05-28,BK1134,1489.810000
2025-05-29,BK1134,1532.240000
2025-05-30,BK1134,1503.630000
2025-06-03,BK1134,1504.420000
2025-06-04,BK1134,1529.890000
2025-06-05,BK1134,1562.560000
2025-06-06,BK1134,1571.880000
2025-06-09,BK1134,1590.250000
2025-06-10,BK1134,1565.360000
2025-06-11,BK1134,1567.050000
2025-06-12,BK1134,1566.020000
2025-06-13,BK1134,1529.090000
2025-06-16,BK1134,1555.220000
2025-06-17,BK1134,1544.680000
2025-06-18,BK1134,1545.010000
2025-06-19,BK1134,1517.040000
2025-06-20,BK1134,1497.240000
2025-06-23,BK1134,1522.310000
2025-06-24,BK1134,1558.590000
2025-06-25,BK1134,1582.420000
2025-06-26,BK1134,1588.720000
2025-06-27,BK1134,1602.050000
2025-06-30,BK1134,1623.350000
2025-07-01,BK1134,1615.390000
2025-07-02,BK1134,1593.700000
2025-07-03,BK1134,1605.010000
2025-07-04,BK1134,1597.490000
2025-07-07,BK1134,1599.900000
2025-07-08,BK1134,1627.500000
2025-07-09,BK1134,1620.650000
2025-07-10,BK1134,1622.510000
2025-07-11,BK1134,1629.540000
2025-07-14,BK1134,1623.670000
2025-07-15,BK1134,1638.380000
2025-07-16,BK1134,1647.870000
2025-07-17,BK1134,1665.920000
2025-07-18,BK1134,1664.270000
2025-07-21,BK1134,1667.070000
2025-07-22,BK1134,1657.430000
2025-07-23,BK1134,1658.390000
2025-07-24,BK1134,1674.470000
2025-07-25,BK1134,1694.270000
2025-07-28,BK1134,1691.510000
2025-07-29,BK1134,1699.060000
2025-07-30,BK1134,1676.260000
2025-07-31,BK1134,1679.290000
2025-08-01,BK1134,1682.900000
2025-08-04,BK1134,1701.430000
2025-08-05,BK1134,1711.830000
2025-08-06,BK1134,1739.390000
2025-08-07,BK1134,1739.460000
2025-08-08,BK1134,1719.150000
2025-08-11,BK1134,1745.320000
2025-08-12,BK1134,1760.790000
2025-08-13,BK1134,1782.940000
2025-08-14,BK1134,1767.610000
2025-08-15,BK1134,1792.300000
2025-08-18,BK1134,1843.350000
2025-08-19,BK1134,1854.920000
2025-08-20,BK1134,1865.860000
2025-08-21,BK1134,1854.470000
2025-08-22,BK1134,1910.760000
2025-08-25,BK1134,1944.580000
2025-08-26,BK1134,1953.510000
2025-08-27,BK1134,1931.330000
2025-08-28,BK1134,1962.080000
2025-08-29,BK1134,1926.960000
2025-09-01,BK1134,1958.560000
2025-09-02,BK1134,1885.560000
2025-09-03,BK1134,1846.800000
2025-09-04,BK1134,1792.740000
2025-09-05,BK1134,1838.760000
2025-09-08,BK1134,1842.970000
2025-09-09,BK1134,1811.270000
2025-09-10,BK1134,1837.110000
2025-09-11,BK1134,1897.950000
2025-09-12,BK1134,1912.220000
2025-09-15,BK1134,1901.470000
2025-09-16,BK1134,1923.280000
2025-09-17,BK1134,1923.800000
2025-09-18,BK1134,1906.500000
2025-09-19,BK1134,1892.190000
2025-09-22,BK1134,1925.210000
2025-09-23,BK1134,1897.750000
2025-09-24,BK1134,1930.280000
2025-09-25,BK1134,1934.970000
2025-09-26,BK1134,1881.220000
2025-09-29,BK1134,1891.070000
2025-09-30,BK1134,1906.460000
2025-10-09,BK1134,1916.840000
2025-10-10,BK1134,1877.230000
2025-10-13,BK1134,1869.400000
2025-10-14,BK1134,1827.350000
2025-10-15,BK1134,1859.400000
2025-10-16,BK1134,1841.270000
2025-10-17,BK1134,1784.740000
2025-10-20,BK1134,1810.200000
2025-10-21,BK1134,1837.630000
2025-10-22,BK1134,1832.670000
2025-10-23,BK1134,1828.480000
