threshold,validation_cost
0.05,376
0.060000000000000005,357
0.07,338
0.08000000000000002,339
0.09000000000000001,321
0.1,312
0.11000000000000001,296
0.12000000000000001,294
0.13,300
0.14,296
0.15000000000000002,294
0.16000000000000003,287
0.17000000000000004,286
0.18000000000000005,288
0.19,285
0.2,285
0.21000000000000002,281
0.22000000000000003,277
0.23000000000000004,280
0.24000000000000005,279
0.25000000000000006,269
0.26000000000000006,264
0.27,262
0.28,263
0.29000000000000004,260
0.30000000000000004,263
0.31000000000000005,262
0.32000000000000006,269
0.33,273
0.34,270
0.35000000000000003,276
0.36000000000000004,286
0.37000000000000005,287
0.38000000000000006,288
0.39000000000000007,290
0.4000000000000001,294
0.4100000000000001,309
0.42000000000000004,323
0.43000000000000005,324
0.44000000000000006,337
0.45000000000000007,343
0.4600000000000001,350
0.4700000000000001,357
0.4800000000000001,367
0.49000000000000005,378
0.5000000000000001,387
0.5100000000000001,398
0.5200000000000001,409
0.5300000000000001,409
0.5400000000000001,412
0.5500000000000002,420
0.5600000000000002,417
0.5700000000000002,426
0.5800000000000002,434
0.5900000000000002,433
0.6000000000000002,433
0.6100000000000001,459
0.6200000000000001,456
0.6300000000000001,460
0.6400000000000001,472
0.6500000000000001,480
0.6600000000000001,481
0.6700000000000002,492
0.6800000000000002,498
0.6900000000000002,503
0.7000000000000002,515
0.7100000000000002,519
0.7200000000000002,527
0.7300000000000002,529
0.7400000000000002,531
0.7500000000000002,542
0.7600000000000002,553
0.7700000000000002,561
0.7800000000000001,565
0.7900000000000001,569
0.8000000000000002,569
0.8100000000000002,569
0.8200000000000002,573
0.8300000000000002,573
0.8400000000000002,577
0.8500000000000002,593
0.8600000000000002,597
0.8700000000000002,605
0.8800000000000002,613
0.8900000000000002,616
0.9000000000000002,616
0.9100000000000003,616
0.9200000000000003,616
0.9300000000000002,616
0.9400000000000002,616
0.9500000000000002,616
